baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000000003,20.950372574001,-0.988565993829688,0.363824627026814,-2.7171497485156,0.00658468078530168,0.0228066044566542
ENSG00000000005,0.135554078429087,0.454663082568031,4.0804728567969,0.111424116401287,0.91128003701051,NA
ENSG00000000419,50.6402711048313,0.442696823824489,0.23700910963428,1.86784729290616,0.06178335929928,0.139656284988286
ENSG00000000457,10.8204967151566,-0.29063565448267,0.5131088124063,-0.566421093256402,0.571107559078423,0.711391366823845
ENSG00000000460,11.0981622784694,-1.33720826337671,0.517237707019152,-2.58528766412461,0.00972977821590576,0.0316740783605989
ENSG00000000938,0.151117307723828,0.454663082568031,4.0804728567969,0.111424116401287,0.91128003701051,NA
ENSG00000000971,0,NA,NA,NA,NA,NA
ENSG00000001036,25.7684375867512,-0.625021240188615,0.332163707549877,-1.88166625667484,0.059881343998183,0.136234189243336
ENSG00000001084,32.2592940393109,-0.00878833359300883,0.289135712730925,-0.0303951853958193,0.975751884580879,0.984878586262645
ENSG00000001167,35.0726305170964,0.176823629692093,0.286457239103021,0.617277574292686,0.537051655990892,0.684290248875099
ENSG00000001460,10.4091587348749,0.298426566834209,0.521478227812901,0.572270424569443,0.567138783071695,0.708171780124363
ENSG00000001461,44.6565333370662,1.05369867425647,0.263661625811779,3.99640513105491,6.43116370912751e-05,0.000420007073574093
ENSG00000001497,87.4824826530681,-0.347817245576148,0.182762774331457,-1.90310771352896,0.0570264916574353,0.131065533335351
ENSG00000001561,10.9761757045998,-0.360116842960683,0.52759137964892,-0.682567715947746,0.494880039947028,0.648351812275515
ENSG00000001617,24.2720167291677,3.69217330543701,0.550391340980861,6.70826924503778,1.96946298471864e-11,4.61900980185815e-10
ENSG00000001626,0.151117307723828,0.454663082568031,4.0804728567969,0.111424116401287,0.91128003701051,NA
ENSG00000001629,175.378074746637,-0.30195594076398,0.134459642576342,-2.24569941566325,0.0247232676397971,0.0677083509116481
ENSG00000001630,83.3705583564135,0.160345226381332,0.18655489797253,0.859506923291518,0.390060902005199,0.553743174890274
ENSG00000001631,55.7699066089678,-0.901378916127701,0.234040255370683,-3.8513840907414,0.000117452118183498,0.000713658693532653
ENSG00000002016,8.02311936013423,0.194844737979007,0.585628570634567,0.332710437552388,0.739352869985281,0.836837730597783
ENSG00000002079,0,NA,NA,NA,NA,NA
ENSG00000002330,34.1976577487127,1.00183231308633,0.318176696743376,3.14866652190543,0.00164017246139748,0.00703784817299475
ENSG00000002549,33.8453420173205,-0.251033720170829,0.290902728003859,-0.862947287890331,0.388166449445552,0.552216085989751
ENSG00000002586,57.194771770178,-0.122051768783863,0.227354870480987,-0.536833754762557,0.591382453244861,0.726943322114759
ENSG00000002587,0.685550621513065,2.66590544487013,2.7942244412726,0.954077061775314,0.34004463615488,NA
ENSG00000002726,37.8139749047951,-0.167128438292419,0.271580920338941,-0.615390941616362,0.538296572147953,0.685306266626454
ENSG00000002745,1.68889908776853,3.95966693461953,1.74454477414233,2.26974222347846,0.0232232279321611,0.0644327329950273
ENSG00000002746,9.86463734487066,-0.28267571962967,0.55461798515705,-0.509676438908891,0.610278162140065,0.741266156666199
ENSG00000002822,75.4905074386858,0.53843471571914,0.207153555589165,2.59920576399366,0.00934397450452343,0.0305926508601321
ENSG00000002834,781.457715397874,-0.972814040969327,0.0941948621854247,-10.3276762489903,5.28247649857081e-25,5.1908202838274e-23
ENSG00000002919,16.9107508050304,0.499114932613798,0.410148651724991,1.21691228415511,0.223637591291413,0.372886578166999
ENSG00000002933,1.92792658048075,3.05507190741604,1.66722235214009,1.83243219087992,0.0668870557333424,0.148729227179879
ENSG00000003056,109.704673574055,0.0571952772155575,0.161754150509155,0.353593877100053,0.723643263663962,0.825764727081895
ENSG00000003096,0.127771078501976,0.454663082568031,4.0804728567969,0.111424116401287,0.91128003701051,NA
ENSG00000003137,11.9261682892416,2.19580584219494,0.583921384064817,3.76044772827022,0.000169609514703962,0.000992767644645913
ENSG00000003147,12.5119407947651,-1.19317880691409,0.500329809883089,-2.38478456279248,0.0170891257288526,0.0499052248700483
ENSG00000003249,38.6589303608649,-0.104402021247089,0.290514667583055,-0.359369191633816,0.719318918975965,0.822855147618948
ENSG00000003393,81.5630582277019,0.643808170843525,0.188410164547706,3.41705646502161,0.000633021488314454,0.00309481807038216
ENSG00000003400,3.43283471655547,-0.0875387342609924,0.928036178833085,-0.0943268551998306,0.924849517653899,0.955449686577024
ENSG00000003402,31.1064305918017,-1.44637058662657,0.314942689004558,-4.59248821173822,4.37992258362441e-06,3.88924543960617e-05
ENSG00000003436,0,NA,NA,NA,NA,NA
