ENSEMBL,SYMBOL
145,ENSG00000006607,FARP2
146,ENSG00000006611,USH1C
147,ENSG00000006625,GGCT
148,ENSG00000006634,DBF4
149,ENSG00000006638,TBXA2R
150,ENSG00000006652,IFRD1
151,ENSG00000006659,LGALS14
152,ENSG00000006695,COX10
153,ENSG00000006704,GTF2IRD1
154,ENSG00000006712,PAF1
155,ENSG00000006715,VPS41
156,ENSG00000006740,ARHGAP44
157,ENSG00000006744,ELAC2
158,ENSG00000006747,SCIN
159,ENSG00000006756,ARSD
160,ENSG00000006757,PNPLA4
161,ENSG00000006788,MYH13
162,ENSG00000006831,ADIPOR2
163,ENSG00000006837,CDKL3
164,ENSG00000007001,UPP2
165,ENSG00000007038,PRSS21
166,ENSG00000007047,MARK4
167,ENSG00000007062,PROM1
168,ENSG00000007080,CCDC124
169,ENSG00000007129,CEACAM21
170,ENSG00000007168,PAFAH1B1
171,ENSG00000007171,NOS2
172,ENSG00000007174,DNAH9
173,ENSG00000007202,BLTP2
174,ENSG00000007216,SLC13A2
175,ENSG00000007237,GAS7
176,ENSG00000007255,TRAPPC6A
177,ENSG00000007264,MATK
178,ENSG00000007306,CEACAM7
179,ENSG00000007312,CD79B
180,ENSG00000007314,SCN4A
181,ENSG00000007341,ST7L
182,ENSG00000007350,TKTL1
183,ENSG00000007372,PAX6
184,ENSG00000007376,RPUSD1
185,ENSG00000007384,RHBDF1
186,ENSG00000007392,LUC7L
187,ENSG00000007402,CACNA2D2
188,ENSG00000007516,BAIAP3
189,ENSG00000007520,TSR3
190,ENSG00000007541,PIGQ
191,ENSG00000007545,CRAMP1
192,ENSG00000007866,TEAD3
193,ENSG00000007908,SELE
194,ENSG00000007923,DNAJC11
195,ENSG00000007933,FMO3
196,ENSG00000007944,MYLIP
197,ENSG00000007952,NOX1
198,ENSG00000007968,E2F2
199,ENSG00000008018,PSMB1
200,ENSG00000008056,SYN1
201,ENSG00000008083,JARID2
202,ENSG00000008086,CDKL5
203,ENSG00000008118,CAMK1G
204,ENSG00000008128,CDK11A
205,ENSG00000008130,NADK
206,ENSG00000008196,TFAP2B
207,ENSG00000008197,TFAP2D
208,ENSG00000008226,DLEC1
209,ENSG00000008256,CYTH3
210,ENSG00000008277,ADAM22
211,ENSG00000008282,SYPL1
212,ENSG00000008283,CYB561
213,ENSG00000008294,SPAG9
214,ENSG00000008300,CELSR3
215,ENSG00000008311,AASS
216,ENSG00000008323,PLEKHG6
217,ENSG00000008324,SS18L2
218,ENSG00000008382,MPND
219,ENSG00000008394,MGST1
220,ENSG00000008405,CRY1
221,ENSG00000008438,PGLYRP1
222,ENSG00000008441,NFIX
223,ENSG00000008513,ST3GAL1
224,ENSG00000008516,MMP25
225,ENSG00000008517,IL32
226,ENSG00000008710,PKD1
227,ENSG00000008735,MAPK8IP2
228,ENSG00000008838,MED24
229,ENSG00000008853,RHOBTB2
230,ENSG00000008869,HEATR5B
231,ENSG00000008952,SEC62
232,ENSG00000008988,RPS20
233,ENSG00000009307,CSDE1
234,ENSG00000009335,UBE3C
235,ENSG00000009413,REV3L
236,ENSG00000009694,TENM1
237,ENSG00000009709,PAX7
238,ENSG00000009724,MASP2
239,ENSG00000009765,IYD
240,ENSG00000009780,FAM76A
241,ENSG00000009790,TRAF3IP3
242,ENSG00000009830,POMT2
243,ENSG00000009844,VTA1
244,ENSG00000009950,MLXIPL
245,ENSG00000009954,BAZ1B
246,ENSG00000010017,RANBP9
247,ENSG00000010030,ETV7
248,ENSG00000010072,SPRTN
249,ENSG00000010165,METTL13
250,ENSG00000010219,DYRK4
251,ENSG00000010244,ZNF207
252,ENSG00000010256,UQCRC1
253,ENSG00000010270,STARD3NL
254,ENSG00000010278,CD9
255,ENSG00000010282,HHATL
256,ENSG00000010292,NCAPD2
257,ENSG00000010295,IFFO1
258,ENSG00000010310,GIPR
259,ENSG00000010318,PHF7
260,ENSG00000010319,SEMA3G
261,ENSG00000010322,NISCH
262,ENSG00000010327,STAB1
263,ENSG00000010361,FUZ
264,ENSG00000010379,SLC6A13
265,ENSG00000010404,IDS
266,ENSG00000010438,PRSS3
267,ENSG00000010539,ZNF200
268,ENSG00000010610,CD4
269,ENSG00000010626,LRRC23
270,ENSG00000010671,BTK
271,ENSG00000010704,HFE
272,ENSG00000010803,SCMH1
273,ENSG00000010810,FYN
274,ENSG00000010818,HIVEP2
275,ENSG00000010932,FMO1
276,ENSG00000011007,ELOA
277,ENSG00000011009,LYPLA2
278,ENSG00000011021,CLCN6
279,ENSG00000011028,MRC2
280,ENSG00000011052,NME1-NME2
281,ENSG00000011083,SLC6A7
282,ENSG00000011105,TSPAN9
283,ENSG00000011114,BTBD7
284,ENSG00000011132,APBA3
285,ENSG00000011143,MKS1
286,ENSG00000011198,ABHD5
287,ENSG00000011201,ANOS1
288,ENSG00000011243,AKAP8L
289,ENSG00000011258,MBTD1
290,ENSG00000011260,UTP18
291,ENSG00000011275,RNF216
292,ENSG00000011295,TTC19
293,ENSG00000011304,PTBP1
294,ENSG00000011332,DPF1
295,ENSG00000011347,SYT7
296,ENSG00000011376,LARS2
297,ENSG00000011405,PIK3C2A
298,ENSG00000011422,PLAUR
299,ENSG00000011426,ANLN
300,ENSG00000011451,WIZ
301,ENSG00000011454,RABGAP1
302,ENSG00000011465,DCN
303,ENSG00000011478,QPCTL
304,ENSG00000011485,PPP5C
305,ENSG00000011523,CEP68
306,ENSG00000011566,MAP4K3
307,ENSG00000011590,ZBTB32
308,ENSG00000011600,TYROBP
309,ENSG00000011638,LDAF1
310,ENSG00000011677,GABRA3
311,ENSG00000012048,BRCA1
312,ENSG00000012061,ERCC1
313,ENSG00000012124,CD22
314,ENSG00000012171,SEMA3B
315,ENSG00000012174,MBTPS2
316,ENSG00000012211,PRICKLE3
317,ENSG00000012223,LTF
318,ENSG00000012232,EXTL3
319,ENSG00000012504,NR1H4
320,ENSG00000012660,ELOVL5
321,ENSG00000012779,ALOX5
322,ENSG00000012817,KDM5D
323,ENSG00000012822,CALCOCO1
324,ENSG00000012963,UBR7
325,ENSG00000012983,MAP4K5
326,ENSG00000013016,EHD3
327,ENSG00000013275,PSMC4
328,ENSG00000013288,MAN2B2
329,ENSG00000013293,SLC7A14
330,ENSG00000013297,CLDN11
331,ENSG00000013306,SLC25A39
332,ENSG00000013364,MVP
333,ENSG00000013374,NUB1
334,ENSG00000013375,PGM3
335,ENSG00000013392,RWDD2A
336,ENSG00000013441,CLK1
337,ENSG00000013503,POLR3B
338,ENSG00000013523,ANGEL1
339,ENSG00000013561,RNF14
340,ENSG00000013563,DNASE1L1
341,ENSG00000013573,DDX11
342,ENSG00000013583,HEBP1
343,ENSG00000013588,GPRC5A
344,ENSG00000013619,MAMLD1
345,ENSG00000013725,CD6
346,ENSG00000013810,TACC3
347,ENSG00000014123,UFL1
348,ENSG00000014138,POLA2
349,ENSG00000014164,ZC3H3
350,ENSG00000014216,CAPN1
351,ENSG00000014257,ACP3
352,ENSG00000014641,MDH1
353,ENSG00000014824,SLC30A9
354,ENSG00000014914,MTMR11
355,ENSG00000014919,COX15
356,ENSG00000015133,CCDC88C
357,ENSG00000015153,YAF2
358,ENSG00000015171,ZMYND11
359,ENSG00000015285,WAS
360,ENSG00000015413,DPEP1
361,ENSG00000015475,BID
362,ENSG00000015479,MATR3
363,ENSG00000015520,NPC1L1
364,ENSG00000015532,XYLT2
365,ENSG00000015568,RGPD5
366,ENSG00000015592,STMN4
367,ENSG00000015676,NUDCD3
368,ENSG00000016082,ISL1
369,ENSG00000016391,CHDH
370,ENSG00000016402,IL20RA
371,ENSG00000016490,CLCA1
372,ENSG00000016602,CLCA4
373,ENSG00000016864,GLT8D1
374,ENSG00000017260,ATP2C1
375,ENSG00000017427,IGF1
376,ENSG00000017483,SLC38A5
377,ENSG00000017797,RALBP1
378,ENSG00000018189,RUFY3
379,ENSG00000018236,CNTN1
380,ENSG00000018280,SLC11A1
381,ENSG00000018408,WWTR1
382,ENSG00000018510,AGPS
384,ENSG00000018610,STEEP1
385,ENSG00000018625,ATP1A2
386,ENSG00000018699,TTC27
387,ENSG00000018869,ZNF582
388,ENSG00000019102,VSIG2
389,ENSG00000019144,PHLDB1
390,ENSG00000019169,MARCO
391,ENSG00000019186,CYP24A1
392,ENSG00000019485,PRDM11
393,ENSG00000019505,SYT13
394,ENSG00000019549,SNAI2
395,ENSG00000019582,CD74
396,ENSG00000019991,HGF
397,ENSG00000019995,ZRANB1
398,ENSG00000020129,NCDN
399,ENSG00000020181,ADGRA2
400,ENSG00000020219,CCT8L1P
401,ENSG00000020256,ZFP64
402,ENSG00000020426,MNAT1
403,ENSG00000020577,SAMD4A
404,ENSG00000020633,RUNX3
405,ENSG00000020922,MRE11
406,ENSG00000021300,PLEKHB1
407,ENSG00000021355,SERPINB1
408,ENSG00000021461,CYP3A43
409,ENSG00000021488,SLC7A9
410,ENSG00000021574,SPAST
411,ENSG00000021645,NRXN3
412,ENSG00000021762,OSBPL5
413,ENSG00000021776,AQR
414,ENSG00000021826,CPS1
415,ENSG00000021852,C8B
416,ENSG00000022267,FHL1
417,ENSG00000022277,RTF2
418,ENSG00000022355,GABRA1
419,ENSG00000022556,NLRP2
420,ENSG00000022567,SLC45A4
421,ENSG00000022840,RNF10
422,ENSG00000022976,ZNF839
423,ENSG00000023041,ZDHHC6
424,ENSG00000023171,GRAMD1B
425,ENSG00000023191,RNH1
426,ENSG00000023228,NDUFS1
427,ENSG00000023287,RB1CC1
428,ENSG00000023318,ERP44
429,ENSG00000023330,ALAS1
430,ENSG00000023445,BIRC3
431,ENSG00000023516,AKAP11
432,ENSG00000023572,GLRX2
433,ENSG00000023608,SNAPC1
434,ENSG00000023697,DERA
435,ENSG00000023734,STRAP
436,ENSG00000023839,ABCC2
437,ENSG00000023892,DEF6
438,ENSG00000023902,PLEKHO1
439,ENSG00000023909,GCLM
440,ENSG00000024048,UBR2
441,ENSG00000024422,EHD2
442,ENSG00000024526,DEPDC1
443,ENSG00000024862,CCDC28A
444,ENSG00000025039,RRAGD
445,ENSG00000025156,HSF2
446,ENSG00000025293,PHF20
447,ENSG00000025423,HSD17B6
448,ENSG00000025434,NR1H3
449,ENSG00000025708,TYMP
450,ENSG00000025770,NCAPH2
451,ENSG00000025772,TOMM34
452,ENSG00000025796,SEC63
453,ENSG00000025800,KPNA6
454,ENSG00000026025,VIM
455,ENSG00000026036,RTEL1-TNFRSF6B
456,ENSG00000026103,FAS
457,ENSG00000026297,RNASET2
458,ENSG00000026508,CD44
459,ENSG00000026559,KCNG1
460,ENSG00000026652,AGPAT4
461,ENSG00000026751,SLAMF7
462,ENSG00000026950,BTN3A1
463,ENSG00000027001,MIPEP
464,ENSG00000027075,PRKCH
465,ENSG00000027644,INSRR
466,ENSG00000027697,IFNGR1
467,ENSG00000027847,B4GALT7
468,ENSG00000027869,SH2D2A
469,ENSG00000028116,VRK2
470,ENSG00000028137,TNFRSF1B
471,ENSG00000028203,VEZT
472,ENSG00000028277,POU2F2
473,ENSG00000028310,BRD9
474,ENSG00000028528,SNX1
475,ENSG00000028839,TBPL1
476,ENSG00000029153,BMAL2
477,ENSG00000029363,BCLAF1
478,ENSG00000029364,SLC39A9
479,ENSG00000029534,ANK1
480,ENSG00000029559,IBSP
481,ENSG00000029639,TFB1M
482,ENSG00000029725,RABEP1
483,ENSG00000029993,HMGB3
484,ENSG00000030066,NUP160
485,ENSG00000030110,BAK1
486,ENSG00000030304,MUSK
487,ENSG00000030419,IKZF2
488,ENSG00000030582,GRN
489,ENSG00000031003,FAM13B
490,ENSG00000031081,ARHGAP31
491,ENSG00000031691,CENPQ
492,ENSG00000031698,SARS1
493,ENSG00000031823,RANBP3
494,ENSG00000032219,ARID4A
495,ENSG00000032389,EIPR1
496,ENSG00000032444,PNPLA6
497,ENSG00000032742,IFT88
498,ENSG00000033011,ALG1
499,ENSG00000033030,ZCCHC8
500,ENSG00000033050,ABCF2
501,ENSG00000033100,CHPF2
502,ENSG00000033122,LRRC7
503,ENSG00000033170,FUT8
504,ENSG00000033178,UBA6
505,ENSG00000033327,GAB2
506,ENSG00000033627,ATP6V0A1
507,ENSG00000033800,PIAS1
508,ENSG00000033867,SLC4A7
509,ENSG00000034053,APBA2
510,ENSG00000034152,MAP2K3
511,ENSG00000034239,CLXN
512,ENSG00000034510,TMSB10
513,ENSG00000034533,ASTE1
514,ENSG00000034677,RNF19A
515,ENSG00000034693,PEX3
516,ENSG00000034713,GABARAPL2
517,ENSG00000034971,MYOC
518,ENSG00000035115,SH3YL1
519,ENSG00000035141,FAM136A
520,ENSG00000035403,VCL
521,ENSG00000035499,DEPDC1B
522,ENSG00000035664,DAPK2
523,ENSG00000035681,NSMAF
524,ENSG00000035687,ADSS2
525,ENSG00000035720,STAP1
526,ENSG00000035862,TIMP2
527,ENSG00000035928,RFC1
528,ENSG00000036054,TBC1D23
529,ENSG00000036257,CUL3
530,ENSG00000036448,MYOM2
531,ENSG00000036473,OTC
532,ENSG00000036530,CYP46A1
533,ENSG00000036549,ZZZ3
534,ENSG00000036565,SLC18A1
535,ENSG00000036672,USP2
536,ENSG00000036828,CASR
537,ENSG00000037042,TUBG2
538,ENSG00000037241,RPL26L1
539,ENSG00000037280,FLT4
540,ENSG00000037474,NSUN2
541,ENSG00000037637,FBXO42
542,ENSG00000037749,MFAP3
543,ENSG00000037757,MRI1
544,ENSG00000037897,METTL1
545,ENSG00000037965,HOXC8
546,ENSG00000038002,AGA
547,ENSG00000038210,PI4K2B
548,ENSG00000038219,BOD1L1
549,ENSG00000038274,MAT2B
550,ENSG00000038295,TLL1
551,ENSG00000038358,EDC4
552,ENSG00000038382,TRIO
553,ENSG00000038427,VCAN
554,ENSG00000038532,CLEC16A
555,ENSG00000038945,MSR1
556,ENSG00000039068,CDH1
557,ENSG00000039123,MTREX
558,ENSG00000039139,DNAH5
559,ENSG00000039319,ZFYVE16
560,ENSG00000039523,RIPOR1
561,ENSG00000039537,C6
562,ENSG00000039560,RAI14
563,ENSG00000039600,SOX30
564,ENSG00000039650,PNKP
565,ENSG00000039987,BEST2
566,ENSG00000040199,PHLPP2
567,ENSG00000040275,SPDL1
568,ENSG00000040341,STAU2
569,ENSG00000040487,SLC66A1
570,ENSG00000040531,CTNS
571,ENSG00000040608,RTN4R
572,ENSG00000040633,PHF23
573,ENSG00000040731,CDH10
574,ENSG00000040933,INPP4A
575,ENSG00000041353,RAB27B
576,ENSG00000041357,PSMA4
577,ENSG00000041515,MYO16
578,ENSG00000041802,LSG1
579,ENSG00000041880,PARP3
580,ENSG00000041982,TNC
581,ENSG00000041988,THAP3
582,ENSG00000042062,RIPOR3
583,ENSG00000042088,TDP1
584,ENSG00000042286,AIFM2
585,ENSG00000042304,C2orf83
586,ENSG00000042317,SPATA7
587,ENSG00000042429,MED17
588,ENSG00000042445,RETSAT
589,ENSG00000042493,CAPG
590,ENSG00000042753,AP2S1
591,ENSG00000042781,USH2A
592,ENSG00000042813,ZPBP
593,ENSG00000042832,TG
594,ENSG00000042980,ADAM28
595,ENSG00000043039,BARX2
596,ENSG00000043093,DCUN1D1
597,ENSG00000043143,JADE2
598,ENSG00000043355,ZIC2
599,ENSG00000043462,LCP2
600,ENSG00000043514,TRIT1
601,ENSG00000043591,ADRB1
602,ENSG00000044012,GUCA2B
603,ENSG00000044090,CUL7
604,ENSG00000044115,CTNNA1
605,ENSG00000044446,PHKA2
606,ENSG00000044459,CNTLN
607,ENSG00000044524,EPHA3
608,ENSG00000044574,HSPA5
609,ENSG00000046604,DSG2
610,ENSG00000046647,GEMIN8
611,ENSG00000046651,OFD1
612,ENSG00000046653,GPM6B
613,ENSG00000046774,MAGEC2
614,ENSG00000046889,PREX2
615,ENSG00000047056,WDR37
616,ENSG00000047188,YTHDC2
617,ENSG00000047230,CTPS2
618,ENSG00000047249,ATP6V1H
619,ENSG00000047315,POLR2B
620,ENSG00000047346,ATOSA
621,ENSG00000047365,ARAP2
622,ENSG00000047410,TPR
623,ENSG00000047457,CP
624,ENSG00000047578,KATNIP
625,ENSG00000047579,DTNBP1
626,ENSG00000047597,XK
627,ENSG00000047617,ANO2
628,ENSG00000047621,C12orf4
629,ENSG00000047634,SCML1
630,ENSG00000047644,WWC3
631,ENSG00000047648,ARHGAP6
632,ENSG00000047662,FAM184B
633,ENSG00000047849,MAP4
634,ENSG00000047932,GOPC
635,ENSG00000047936,ROS1
636,ENSG00000048028,USP28
637,ENSG00000048052,HDAC9
638,ENSG00000048140,TSPAN17
639,ENSG00000048162,NOP16
640,ENSG00000048342,CC2D2A
641,ENSG00000048392,RRM2B
642,ENSG00000048405,ZNF800
643,ENSG00000048462,TNFRSF17
644,ENSG00000048471,SNX29
645,ENSG00000048540,LMO3
646,ENSG00000048544,MRPS10
647,ENSG00000048545,GUCA1A
648,ENSG00000048649,RSF1
649,ENSG00000048707,VPS13D
650,ENSG00000048740,CELF2
651,ENSG00000048828,FAM120A
652,ENSG00000048991,R3HDM1
653,ENSG00000049089,COL9A2
654,ENSG00000049130,KITLG
655,ENSG00000049167,ERCC8
656,ENSG00000049192,ADAMTS6
657,ENSG00000049239,H6PD
658,ENSG00000049245,VAMP3
659,ENSG00000049246,PER3
660,ENSG00000049247,UTS2
661,ENSG00000049249,TNFRSF9
662,ENSG00000049283,EPN3
663,ENSG00000049323,LTBP1
664,ENSG00000049449,RCN1
665,ENSG00000049540,ELN
666,ENSG00000049541,RFC2
667,ENSG00000049618,ARID1B
668,ENSG00000049656,CLPTM1L
669,ENSG00000049759,NEDD4L
670,ENSG00000049768,FOXP3
671,ENSG00000049769,PPP1R3F
672,ENSG00000049860,HEXB
673,ENSG00000049883,PTCD2
674,ENSG00000050030,NEXMIF
675,ENSG00000050130,JKAMP
676,ENSG00000050165,DKK3
677,ENSG00000050327,ARHGEF5
678,ENSG00000050344,NFE2L3
679,ENSG00000050393,MCUR1
680,ENSG00000050405,LIMA1
681,ENSG00000050426,LETMD1
682,ENSG00000050438,SLC4A8
683,ENSG00000050555,LAMC3
684,ENSG00000050628,PTGER3
685,ENSG00000050730,TNIP3
686,ENSG00000050748,MAPK9
687,ENSG00000050767,COL23A1
688,ENSG00000050820,BCAR1
689,ENSG00000051009,FHIP1B
690,ENSG00000051108,HERPUD1
691,ENSG00000051128,HOMER3
692,ENSG00000051180,RAD51
693,ENSG00000051341,POLQ
694,ENSG00000051382,PIK3CB
695,ENSG00000051523,CYBA
696,ENSG00000051596,THOC3
697,ENSG00000051620,HEBP2
698,ENSG00000051825,MPHOSPH9
699,ENSG00000052126,PLEKHA5
700,ENSG00000052344,PRSS8
701,ENSG00000052723,SIKE1
702,ENSG00000052749,RRP12
703,ENSG00000052795,FNIP2
704,ENSG00000052802,MSMO1
705,ENSG00000052841,TTC17
706,ENSG00000052850,ALX4
707,ENSG00000053108,FSTL4
708,ENSG00000053254,FOXN3
709,ENSG00000053328,METTL24
710,ENSG00000053371,AKR7A2
711,ENSG00000053372,MRTO4
712,ENSG00000053438,NNAT
713,ENSG00000053501,USE1
714,ENSG00000053524,MCF2L2
715,ENSG00000053702,NRIP2
716,ENSG00000053747,LAMA3
717,ENSG00000053770,AP5M1
718,ENSG00000053900,ANAPC4
719,ENSG00000053918,KCNQ1
720,ENSG00000054116,TRAPPC3
721,ENSG00000054118,THRAP3
722,ENSG00000054148,PHPT1
723,ENSG00000054179,ENTPD2
724,ENSG00000054219,LY75
725,ENSG00000054267,ARID4B
726,ENSG00000054277,OPN3
727,ENSG00000054282,SDCCAG8
728,ENSG00000054356,PTPRN
729,ENSG00000054392,HHAT
730,ENSG00000054523,KIF1B
731,ENSG00000054598,FOXC1
732,ENSG00000054611,TBC1D22A
733,ENSG00000054654,SYNE2
734,ENSG00000054690,PLEKHH1
735,ENSG00000054793,ATP9A
736,ENSG00000054796,SPO11
737,ENSG00000054803,CBLN4
738,ENSG00000054938,CHRDL2
739,ENSG00000054965,FAM168A
740,ENSG00000054967,RELT
741,ENSG00000054983,GALC
742,ENSG00000055044,NOP58
743,ENSG00000055070,SZRD1
744,ENSG00000055118,KCNH2
745,ENSG00000055130,CUL1
746,ENSG00000055147,FAM114A2
747,ENSG00000055163,CYFIP2
748,ENSG00000055208,TAB2
749,ENSG00000055211,GINM1
750,ENSG00000055332,EIF2AK2
751,ENSG00000055483,USP36
752,ENSG00000055609,KMT2C
753,ENSG00000055732,MCOLN3
754,ENSG00000055813,CCDC85A
755,ENSG00000055917,PUM2
756,ENSG00000055950,MRPL43
757,ENSG00000055955,ITIH4
758,ENSG00000055957,ITIH1
759,ENSG00000056050,HPF1
760,ENSG00000056097,ZFR
761,ENSG00000056277,ZNF280C
762,ENSG00000056291,NPFFR2
763,ENSG00000056487,PHF21B
764,ENSG00000056558,TRAF1
765,ENSG00000056586,RC3H2
766,ENSG00000056736,IL17RB
767,ENSG00000056972,TRAF3IP2
768,ENSG00000056998,GYG2
769,ENSG00000057019,DCBLD2
770,ENSG00000057149,SERPINB3
771,ENSG00000057252,SOAT1
772,ENSG00000057294,PKP2
773,ENSG00000057468,MSH4
774,ENSG00000057593,F7
775,ENSG00000057608,GDI2
776,ENSG00000057657,PRDM1
777,ENSG00000057663,ATG5
778,ENSG00000057704,TMCC3
779,ENSG00000057757,PITHD1
780,ENSG00000057935,MTA3
781,ENSG00000058056,USP13
782,ENSG00000058063,ATP11B
783,ENSG00000058085,LAMC2
784,ENSG00000058091,CDK14
785,ENSG00000058262,SEC61A1
786,ENSG00000058272,PPP1R12A
787,ENSG00000058335,RASGRF1
788,ENSG00000058404,CAMK2B
789,ENSG00000058453,CROCC
790,ENSG00000058600,POLR3E
791,ENSG00000058668,ATP2B4
792,ENSG00000058673,ZC3H11A
793,ENSG00000058729,RIOK2
794,ENSG00000058799,YIPF1
795,ENSG00000058804,NDC1
796,ENSG00000058866,DGKG
797,ENSG00000059122,FLYWCH1
798,ENSG00000059145,UNKL
799,ENSG00000059377,TBXAS1
800,ENSG00000059378,PARP12
801,ENSG00000059573,ALDH18A1
802,ENSG00000059588,TARBP1
803,ENSG00000059691,GATB
804,ENSG00000059728,MXD1
805,ENSG00000059758,CDK17
806,ENSG00000059769,DNAJC25
807,ENSG00000059804,SLC2A3
808,ENSG00000059915,PSD
809,ENSG00000060069,CTDP1
810,ENSG00000060138,YBX3
811,ENSG00000060140,STYK1
812,ENSG00000060237,WNK1
813,ENSG00000060303,RPS17P5
814,ENSG00000060339,CCAR1
815,ENSG00000060491,OGFR
816,ENSG00000060558,GNA15
817,ENSG00000060566,CREB3L3
818,ENSG00000060642,PIGV
819,ENSG00000060656,PTPRU
820,ENSG00000060688,SNRNP40
821,ENSG00000060709,RIMBP2
822,ENSG00000060718,COL11A1
823,ENSG00000060749,QSER1
824,ENSG00000060762,MPC1
825,ENSG00000060971,ACAA1
826,ENSG00000060982,BCAT1
827,ENSG00000061273,HDAC7
828,ENSG00000061337,LZTS1
829,ENSG00000061455,PRDM6
